Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Artur Nogueira;Região Administrativa de Campinas;Campinas;148;44.177;Pequeno 2;Sim;Lei Complementar;410;10/10/2005;Cria o Arquivo Geral;Divisão de Arquivo Geral do Município de Artur Nogueira;Secretaria de Administração da Prefeitura;Rua Orlando Furin, 120;Centro;13160-970;(19) 3827-9700, Ramal 9724;gentil@usp.br;;Lei Complementar;410;10/10/2005;Cria o Arquivo Geral;;;;;;;;;;;;;Sim;Decreto;004;14/01/2010;;;Sim;;;;;;"A Tabela de Temporalidade não foi oficializada. Decreto nº004, de 14/01/2010 ""Institui a Comissão Especial de Avaliação de Documentos correntes de prestação de contas, nomeia gestor e dá outras providências"" (nota-se que o Decreto cria a comissão para avaliar um tipo específico de documento, e não de toda a massa documental da Prefeitura). O tempo de guarda da TTD foi baseado no Livro: Planos de Classificação e Tabelas de Temporalidade de Documentos para as Administrações Públicas Municipais por Daise Apparecida Oliveira, mas não foi encontrado nenhum ato de oficialização de TTD, apenas o ano de 2010.";Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;4,9;332;7,1;186;SUBIU
Arujá;Região Administrativa de São Paulo;São Paulo;43;74.905;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;6577;08/04/2016;Regulamenta, no âmbito do Poder Executivo Municipal, o acesso a informações, de que trata o art. 45, da Lei Federal n° 12.527/2011.;Sim;Autoridade Máxima do Órgão responsável pela resposta.;Prefeito Municipal;Não há;Não há;Sim;Sim;Sim;Não determinada: coordenado pela Diretoria Geral da Administração.;6,8;87;8,3;72;SUBIU
Aspásia;Região Administrativa de São José do Rio Preto;Jales;624;1.809;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,8;338;6,9;217;SUBIU
Assis;Região Administrativa de Marília;Assis;434;95.144;Médio;Sim;Lei;2594;20/10/1988;Cria Fundação Cultural;Museu de Arquivo Histórico de Assis;Fundação Assisense de Cultura - FAC;Rua Floriano Peixoto, 757;Centro;;(18) 3322-2613;;;Lei;2594;20/10/1988;Cria Fundação Cultural;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;6840;17/09/2015;Lei de Acesso regulamentada;Sim;Secretários Municipais e Dirigentes Máximos dos Órgãos e Entidades da Administração Indireta (o Vice-Prefeito é, também autoridade competente para classificar e, consequentemente, desclassificar informação sigilosa).;Prefeito Municipal;Não há;Não há;Sim;Sim;Sim;Paço Municipal: Avenida Rui Barbosa, 926: coordenado pela Secretaria Municipal de Governo e Administração: no âmbito da Administração Municipal Direta o SIC ficará sob a subordinação da Secretaria Municipal de Governo e Administração.;0;641;2,4;587;SUBIU
Atibaia;Região Administrativa de Campinas;Bragança Paulista;67;126.603;Grande;Sim;Lei;4147;12/06/2013;Política de Arquivos;Arquivo Municipal;Secretaria de Administração;;;;;;;Lei;4147;12/06/2013;Política de Arquivos;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;6811;10/08/2012;Regulamenta LAI;Sim;Autoridade imediatamente superior ao agente público que exarou a decisão impugnada.;Secretaria dos Assuntos Jurídicos;Não há;Não há;Sim;Sim;Sim;Setor de Atendimento da Ouvidoria Geral do Município.;8,5;7;0;641;CAIU
Auriflama;Região Administrativa de Araçatuba;Araçatuba;582;14.202;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,8;534;4,6;461;SUBIU
Avaí;Região Administrativa de Bauru;Bauru;366;4.959;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,2;504;0,4;632;CAIU
Avanhandava;Região Administrativa de Araçatuba;Araçatuba;467;11.310;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,6;626;1,3;613;SUBIU
Avaré;Região Administrativa de Sorocaba;Avaré;263;82.934;Médio;Sim;Lei;2046;27/09/2016;Cria Arquivo Público Municipal.;Arquivo Público Municipal;Secretaria Municipal de Administração;;;;;ailton.camilo@avare.sp.gov.br;;Lei;2046;27/09/2016;Cria Arquivo Público Municipal.;;;;;;;;;;;;;Sim;Lei;2046;27/09/2016;Cria Arquivo Público Municipal.;;;;;;;;A Comissão Central de Avaliação de Documentos de Arquivo é prevista no Art.23 da Lei 2046, de 27/09/2016.;Sim;Não;Não;Sim;;Sim;Decreto;4582;08/09/2016;;Sim;Autoridade Hierárquicamente Superior a que não respondeu o pedido ou emitiu decisão denegatória de acesso.;Prefeito;Comissão Central de Avaliação de Documentos de Arquivo (CCADA).;Não há;Sim;Sim;Sim;Setor de Protocolo Geral da Prefeitura (vinculado a Secretaria Municipal de Administração).;6,4;141;7,8;111;SUBIU
Bady Bassitt;Região Administrativa de São José do Rio Preto;São José do Rio Preto;465;14.603;Pequeno 1;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5;322;6,2;298;SUBIU
Balbinos;Região Administrativa de Bauru;Bauru;399;3.702;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,5;607;0,2;637;CAIU
Bálsamo;Região Administrativa de São José do Rio Preto;São José do Rio Preto;479;8.160;Pequeno 1;Sim;Lei;1465;06/10/1998;Memorial e Arquivo;Memorial e Arquivo Municipal de Bálsamo;;;;;;;;Lei;1465;06/10/1998;Memorial e Arquivo;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,7;468;7,4;149;SUBIU
Bananal;Região Administrativa de São José dos Campos;Cruzeiro;316;10.223;Pequeno 1;Sim;Lei;194;21/12/2016;Possui Arquivo Publico;Arquivo Público e Histórico Municipal;;Praça Dona Domiciana, S/N;;;;;;Lei;194;21/12/2016;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,3;291;7,6;129;SUBIU
Barão de Antonina;Região Administrativa de Itapeva;Itapeva;376;3.116;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;1,1;617;4,6;461;SUBIU
Barbosa;Região Administrativa de Araçatuba;Araçatuba;502;6.593;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,4;632;0,6;628;SUBIU
Bariri;Região Administrativa de Bauru;Jaú;337;31.593;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;4366;03/05/2012;Regulamenta LAI;Sim;Chefe do Poder Executivo;Não há;Não há;Não há;Não;Sim;Sim;Setor de Protocolo (O Decreto prevê criação de SICs em locais apropriados, mas todos pedidos de acesso deverão ser protocolizados junto ao Setor de Protocolo).;5,9;206;7,7;124;SUBIU
Barra Bonita;Região Administrativa de Bauru;Jaú;282;35.246;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;4627;17/09/2013;Lei de Acesso regulamentada;Sim;Autoridade Gestora Municipal;Chefe do Executivo;Não há;Não há;Sim;Sim;Sim;Dependência da Prefeitura Municipal: Praça Nhonhô de Salles, nº 1.130 (âmbito da Chefia de Gabinete). ;6,1;178;8,4;67;SUBIU
Barra do Chapéu;Região Administrativa de Itapeva;Itapeva;348;5.244;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,6;361;2,8;571;CAIU
Barra do Turvo;Região Administrativa de Registro;Registro;326;7.729;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;2;02/01/2015;Lei de Acesso regulamentada;Sim;Diretor Municipal ou Diretor Presidente da entidade da administração pública indireta da área que exarou a decisão impugnada.;Não há;Não há;Não há;Não;Não;Sim;Paço Municipal: Avenida 21 de Março, nº 304 B: No âmbito da administração pública municipal direta e indireta, será utilizada a estrutura do Departamento de Governo e Administração para o recebimento das solicitações de informação.;6,7;102;3,8;527;CAIU
Barretos;Região Administrativa de Barretos;Barretos;440;112.101;Grande;Sim;;;;;Arquivo da Prefeitura;Secretaria Municipal de Administração;Rua 30, 506;Centro;14780-120;(17) 3321-1100;marta.arquivo@barretos.sp.gov.br;;;;;;;;;;;;;;;;;;Não;;;;;;;;;;;;"A Lei Complementar Municipal 101/2009, de 05/02/2009 prevê em seu art. 3º, inciso IV, alíneas ""d)"" e ""e)"", a microfilmagem e eliminação de documentos.";Sim;Não;Não;Não;;Sim;Lei;5338;17/10/2016;Regula o procedimento de acesso a informações públicas, classificação e reclassificação de informações sigilosas, no âmbito da administração pública do município de Barretos, garantidos no inciso XXXIII, do artigo 5.º, no inciso II, do § 3.° do artigo 37 e no § 2.º do artigo 216, da Constituição Federal, regulamentados pela Lei Federal n.º 12.527, de 18 de novembro de 2011, cria o Serviço de Informação ao Cidadão - SIC, e dá outras providências.;Sim;Secretaria Municipal de Negócios Jurídicos;Autoridade máxima do órgão ou entidade municipal responsável pela informação;Não há;Não há;Sim;Sim;Sim;Poupatempo de Barretos, localizado na Via Conselheiro Antonio Prado, 1400 - Pedro Cavalini (Alameda de Serviços, prédio anexo ao North Shopping Barretos): vinculado ao Departamento de Protocolo Geral da Secretaria Municipal de Administração (recebe e registra  os pedidos).;6,9;76;6,8;229;CAIU
Barrinha;Região Administrativa de Ribeirão Preto;Ribeirão Preto;352;28.496;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,6;477;6,8;229;SUBIU
Barueri;Região Administrativa de São Paulo;São Paulo;30;240.749;Grande;Sim;Lei;1469;09/11/2004;Cria Arquivo Geral;Arquivo Geral do Município de Barueri;Secretaria de Gabinete e Governo;Rua Guilhermina Carril Loureiro, 60;Centro;06401-110;(11) 4911-8123/8126;sadm.arquivogeral@barueri.sp.gov.br;;Lei;1469;09/11/2004;Cria Arquivo Geral;;;;;;;;;;;;;Sim;Decreto;5674;28/04/2005;;;Sim;;;;;;"O Decreto 5.674, de 28/04/2005 cria a CPAD - Comissão Permanente de Avaliação de Documentos (ver art. 1º, art. 4º e 5º). Lei Municipal nº 1469/2004, de 9 de Novembro de 2004, que ""Dispõe sobre a criação do Arquivo Geral do Município de Barueri"". Ver Decretos nºs 5783/2005, de 03/12/2005, 5815/2006, de 13/02/2006, 5947/2006, de 30/10/2006, 6151/2007, de 09/08/2007, e 7602/2013, de 18/06/2013 (todos relacionados a Tabelas de Temporalidade e Planos de Classificação).";Sim;Não;Não;Não;;Sim;Decreto;7367;03/07/2012;Regulamenta LAI;Sim;Autoridade hierarquicamente superior à que exarou a decisão impugnada.;Comissão de Reavaliação de Informações;Não há;Não há;Sim;Não;Sim;Ganha Tempo Municipal;4;433;7,1;186;SUBIU
Bastos;Região Administrativa de Marília;Tupã;542;20.445;Pequeno 2;Sim;Lei;1432;08/12/1999;Cria Arquivo Geral;Arquivo Geral do Município de Bastos;Secretaria Municipal de Educação e Cultura;Avenida 18 de Junho, 250;;;;;;Lei;1432;08/12/1999;Cria Arquivo Geral;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;2540;03/04/2014;Cria SIC e LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Sim;Sim;Sedes do Paço Municipal: Rua Ademar de Barros, nº530 e 600 (recebe, autua e processa os pedidos).;3,8;461;6,6;256;SUBIU
Batatais;Região Administrativa de Franca;Franca;368;56.476;Médio;Sim;Lei;3293;28/08/2014;Possui Arquivo Publico;Arquivo Público Municipal;Gabinete do Prefeito;;;;;;;Lei;3293;28/08/2014;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;3244;03/10/2013;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou a autoridade máxima dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal, bem como das demais entidades controladas direta ou indiretamente pelo Município.;Não há;Não há;Sim;Sim;Sim;Não determinada.;6,8;87;7;205;SUBIU
Bauru;Região Administrativa de Bauru;Bauru;326;343.937;Grande;Sim;Lei;4008;20/12/1995;Cria Divisão de Arquivo Geral;Divisão de Arquivo Geral;Secretaria de Negócios Jurídicos;;;;;;;Lei;4008;20/12/1995;Cria Divisão de Arquivo Geral;;;;;;;;;;;;;Sim;Decreto;6891;28/02/1994;;;Não;;;;;;O trabalho de estabelecer a Tabela de Temporalidade não foi iniciado. Decreto 6891, de 28/02/1994, define regras para a eliminação de documentos, cria a CCAD e a CSA (art. 5º a 10). Existe a previsão da elaboração da TTD no Decreto Municipal nº 6.891/1994, em seu art. 11.;Sim;Não;Não;Não;;Sim;Lei;6399;12/08/2013;Regulamenta LAI;;O próprio SIC (caso haja dúvida, a Comissão de Acesso à Informação poderá ser convocada). O Decreto nº 12.347 de 11/12/2013 determina a autoridade competente para a reconsideração ou recurso. ;Prefeito ou Representante Legal da Administração Indireta.;Não há;Não há;Não;Sim;Sim;O protocolo do pedido pode ser feito em qualquer órgão ou poupatempo, mas deve ser encaminhado ao SIC respectivo: o SIC da Administração Direta funcionará junto ao Gabinete do Prefeito (recebe e procoliza os pedidos).;7,2;53;9,3;18;SUBIU
Bebedouro;Região Administrativa de Barretos;Barretos;395;75.035;Médio;Sim;Lei;3368;16/04/2004;Possui Arquivo Publico;"Arquivo Público e Histórico de Bebedouro ""Prof. Manoel Izidoro Filho""";Departamento Municipal de Educação e Cultura;Praça José Stamaio Sobrinho, 129;Centro;;;;;Lei;3368;16/04/2004;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;4653;18/06/2013;Regulamenta LAI - PM e CM;Sim;Prefeito, Presidente da Câmara ou Diretores de Autarquias, conforme o caso.;Não há;Não há;Não há;Sim;Sim;Sim;Não determinada: Órgãos e Entidades do Poder Público em local com condições apropriadas.;5,8;221;8,8;42;SUBIU
Bento de Abreu;Região Administrativa de Araçatuba;Araçatuba;560;2.674;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,9;524;7;205;SUBIU
Bernardino de Campos;Região Administrativa de Marília;Ourinhos;325;10.775;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,7;542;9,6;12;SUBIU
Bertioga;Região Administrativa de Santos;Santos;121;47.645;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;3,8;461;5,5;371;SUBIU
Bilac;Região Administrativa de Araçatuba;Araçatuba;523;7.048;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1854;12/07/2013;Regulamenta o acesso à informação de que trata a Lei Federal no 12.527, de 18 de novembro de 2011, e dá outras providências.;Sim;Autoridade hierarquicamente superior à que adotou a decisão;Autoridade máxima do órgão ou entidade municipal responsável pela informação;Diretoria Municipal de Administração;Comissão Mista de Avaliação e Reavaliação de Informações;Sim;Sim;Sim;Não determinada: âmbito do Poder Executivo Municipal: coordenado pela Diretoria Municipal de Administração (recebe, registra e encaminha os pedidos).;7;60;4,2;489;CAIU
Birigui;Região Administrativa de Araçatuba;Araçatuba;507;108.728;Grande;Sim;Lei;3042;29/09/1993;Possui Arquivo Publico;Arquivo Permanente da Prefeitura Municipal de Birigüi;Secretaria Expediente e Comunicações;Rua Guanabara, 256;Jardim Cleiton;16203-030;(18) 3643-6161;;;Lei;3042;29/09/1993;Possui Arquivo Publico;;;;;;;;;;;;;Sim;Lei;4825;09/02/2007;;;;;;;;;"Lei 4.825, de 09/02/2007 ""Dispõe sobre criação de Comissão Permanente de Avaliação de Documentos"".";Sim;Não;Não;Não;;Sim;Lei;5780;08/01/2014;Regulamenta LAI;;O próprio SIC (caso haja dúvida, a Comissão de Acesso à Informação poderá ser convocada).;Prefeito ou Autoridade Competente da Administração Indireta (podendo consultar a Comissão de Acesso à Informação).;Não há;Não há;Não;Sim;Sim;O pedido pode ser protocolado em outra repartição mas deve ser encaminhado ao SIC respectivo (recebe e protocoliza os pedidos).;4;433;5,2;411;SUBIU
Biritiba-Mirim;Região Administrativa de São Paulo;São Paulo;84;28.575;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,5;375;6,6;256;SUBIU
Boa Esperança do Sul;Região Administrativa Central;Araraquara;316;13.645;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;32;18/08/2014;Regulamenta a Lei Federal nº 12.527, de 18 de novembro de 2011, no âmbito da administração pública municipal, estabelecendo procedimentos e outras providências correlatas para garantir o acesso à informação.;Sim;Secretário Municipal de Governo;Prefeito Municipal;Não há;Não há;Não;Sim;Sim;Não determinada: Local de fácil acesso e aberto ao público: estrutura do Gabinete do Prefeito: subordinado imediatamente ao Secretário Municipal de Governo (recebe, registra e protocoliza os pedidos).;6,4;141;8,3;72;SUBIU
Bocaina;Região Administrativa de Bauru;Jaú;313;10.859;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,1;309;7,8;111;SUBIU
Bofete;Região Administrativa de Sorocaba;Botucatu;193;9.618;Pequeno 1;Sim;Lei;2151;01/07/2014;Política de Arquivos;Arquivo Municipal;Departamento Administrativo (Art. 16);;;;;;;Lei;2151;01/07/2014;Política de Arquivos;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2153;01/07/2013;Regulamenta LAI;Sim;Autoridade hierarquicamente superior à que exarou a decisão impugnada.;Ministério Público (indeferimento de pedido de desclassificação).;Não há;Não há;Não;Sim;Sim;Órgãos e Entidades do Poder Público em local com condições apropriadas.;8,2;14;7,3;160;CAIU
Boituva;Região Administrativa de Sorocaba;Itapetininga;120;48.314;Pequeno 2;Sim;Lei;2273;03/12/2012;Institui Arquivo;Arquivo Público Municipal;Secretaria Municipal de Administração;;;;;;;Lei;2273;03/12/2012;Institui Arquivo;;;;;;;;;;;;;Sim;Lei;2273;03/12/2012;Institui Arquivo;;Não;;;;;;O trabalho de estabelecer a Tabela de Temporalidade não foi iniciado. De acordo com a Lei nº 2.273, de 03/12/2012, art. 12 a 16, devem ser criadas CADAs. Na mesma Lei, em seu art. 9º, inciso V, e Art. 17, inciso XVII, há previsão da existência de Tabelas de Temporalidade.;Sim;Não;Não;Não;;Sim;Lei;2427;19/05/2014;Regulamenta LAI - PM e CM;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou Autoridade Máxima  dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como das demais entidades controladas direta ou indiretamente pelo Município.;Não há;Não há;Sim;Sim;Sim;Não determinada: todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Municípioo (recebe e protocoliza os pedidos).;7,3;41;6,7;244;CAIU
Bom Jesus dos Perdões;Região Administrativa de Campinas;Bragança Paulista;78;19.708;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,7;350;0;641;CAIU
Bom Sucesso de Itararé;Região Administrativa de Itapeva;Itapeva;352;3.571;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;2,6;551;4,8;446;SUBIU
Borá;Região Administrativa de Marília;Tupã;486;805;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;1419;23/09/2013;Dispõe sobre o acesso à informação previsto no inciso XXXIII do caput do art. 5º, inciso II do parágrafo 3º do art. 37 e no parágrafo 2º do art. 216 da Constituição Federal.;Sim;Autoridade que exarou a decisão impugnada;Comissão Mista de Reavaliação de Informações;Não há;Não há;Sim;Não;Sim;Paço Municipal: Praça Santo Antonio, 10 (recebe, autua e processa os pedidos);3,3;498;9,3;18;SUBIU
Boracéia;Região Administrativa de Bauru;Jaú;334;4.268;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,9;206;6,3;283;SUBIU
Borborema;Região Administrativa Central;Araraquara;391;14.529;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;4203;16/10/2013;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Sim;Sim;Sim;Não determinada: Órgão de Fácil Acesso e Aberto ao Público (recebe e protocoliza os pedidos).;7,8;24;9,3;18;SUBIU
Borebi;Região Administrativa de Bauru;Bauru;308;2.293;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4;433;4,2;489;SUBIU
Botucatu;Região Administrativa de Sorocaba;Botucatu;235;127.328;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;9441;07/05/2013;Regulamenta LAI;Sim;Autoridade Máxima do Órgão ou Entidade Municipal (os Secretários de Governo julgarão as reclamações e contra suas decisões poderão ser apresentados recursos).;Comissão Municipal de Acesso à Informação;Não há;Não há;Sim;Sim;Sim;Não determinada. De acordo com o Art. 12: Todas as secretarias, subprefeituras, autarquias, fundações públicas, empresas públicas, sociedades de economia mista e demais entidades controladas direta, ou indiretamente pelo Município deverão  dispor de, no mínimo, uma unidade física para atendimento ao público, com a finalidade de abrigar seu próprio SIC - Serviço de Informações ao Cidadão (recebe e protocoliza os pedidos).;7;60;8,7;45;SUBIU
Bragança Paulista;Região Administrativa de Campinas;Bragança Paulista;88;146.744;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;2310;21/07/2016;Dispõe sobre o acesso à informação previsto na Lei Federal nº 12.527, de 18 de novembro de 2011, e dá outras providências.;Sim;Autoridade hierarquicamente superior à que exarou a decisão impugnada;Comissão Mista de Reavaliação de Informações;Não há;Não há;Sim;Não;Sim;Não determinada: âmbito da Ouvidoria do Município, ligada ao Gabinete do Prefeito Municipal.;2,6;551;4,6;461;SUBIU
